housenum,acre,bedrooms,bikescore,distance,garage_spaces,latitude,longitude,full_baths,half_baths,total_rooms,price2014,squarefeet,walkscore
27,0.13,4,83,0.216738636,0,42.328282,-72.642337,1,0,8,287.489,1466,60
28,0.23,3,28,1.91,1,42.323328,-72.690341,1,0,6,223.067,1636,18
29,0.21,4,46,0.708522727,1,42.34472,-72.66787,1,0,7,237.594,1335,32
30,0.14,4,32,2.011742424,0,42.31978,-72.697778,2,0,6,275.218,1512,14
31,0.21,4,27,1.991666667,1,42.319787,-72.697766,2,0,8,280.283,1752,18
32,0.14,3,88,0.892045455,0,42.318904,-72.624688,1,0,8,237.789,1912,92
33,0.26,3,38,0.875378788,0,42.346922,-72.668068,1,0,5,191.694,942,22
34,0.56,3,87,0.329545455,0,42.328618,-72.640122,2,0,8,365.506,1675,57
35,0.11,4,74,0.326515152,1,42.325601,-72.640816,2,0,7,474.245,1800,68
36,0.32,3,48,0.704356061,0,42.326028,-72.661687,2,0,6,259.48,1412,37
37,0.5,3,44,0.866856061,2,42.324689,-72.661135,2,0,7,326.891,1763,31
38,0.34,4,77,0.204734848,2,42.334671,-72.643834,2,0,7,228.829,1796,48
39,0.19,4,75,0.138825758,2,42.330071,-72.645634,2,0,7,426.5,2224,48
40,0.11,3,49,1.145454545,0,42.320267,-72.651623,1,0,6,350.766,1602,42
41,0.28,4,79,0.179545455,1,42.340736,-72.673735,2,0,9,279.187,1900,65
42,0.1,3,33,2.28,0,42.353467,-72.642586,1,0,6,214.737,1348,11
43,0.1,2,33,2.28,0,42.353751,-72.642551,1,0,5,212.959,1084,11
44,0.1,2,33,0.421969697,0,42.35393,-72.642528,1,1,4,301.366,1830,11
45,0.1,2,33,2.28,0,42.354408,-72.642469,1,0,4,144.366,587,11
46,0.1,3,33,2.28,0,42.354408,-72.642469,2,0,6,318.348,1389,11
47,0.1,1,32,2.28,0,42.354408,-72.642469,1,0,4,185.141,645,11
48,0.1,1,32,2.28,0,42.353846,-72.642539,1,0,4,132.135,804,11
49,0.1,2,32,2.28,0,42.310089,-72.649134,1,0,5,200.219,800,11
50,0.26,5,49,1.21,2,42.321535,-72.663897,3,0,8,525.112,3070,22
51,0.35,3,25,2.53,2,42.312297,-72.689104,1,1,5,210.701,864,9
52,0.46,3,26,3.48,0,42.313631,-72.688904,1,0,5,185.508,864,11
53,0.43,4,21,2.4,0,42.313131,-72.688979,1,0,6,209.945,1008,11
54,0.28,1,97,0.126893939,0,42.318079,-72.631609,1,0,4,142.702,524,94
55,0.55,2,43,0.73219697,0,42.326513,-72.663059,1,1,7,367.384,1856,37
56,0.28,3,43,0.935037879,0,42.346707,-72.666333,1,0,5,201.443,960,22
57,0.55,4,75,0.390530303,2,42.334066,-72.677273,1,1,9,360.87,2542,80
58,0.18,3,83,0.285795455,1,42.333673,-72.668872,1,0,8,313.64,1395,72
59,0.26,3,83,0.203598485,1,42.333662,-72.66927,2,0,7,270.622,1349,72
60,0.25,2,60,0.502462121,0,42.330097,-72.666289,1,1,6,258.091,1300,54
61,0.22,4,85,0.096780303,2,42.338464,-72.672035,1,1,8,357.303,2256,69
62,0.31,2,85,0.115340909,2,42.338589,-72.672035,1,0,5,289.946,1519,69
63,0.26,3,69,0.385984848,2,42.342864,-72.67186,1,0,7,296.142,1454,40
64,0.19,3,55,0.75625,1,42.32656,-72.656248,1,1,6,331.387,1584,31
65,0.14,4,69,0.6375,2,42.309151,-72.636371,1,0,7,389.242,1624,55
66,0.24,6,71,0.111363636,2,42.332789,-72.65263,3,0,11,495.218,2850,35
67,0.37,3,76,0.300568182,1,42.332189,-72.670035,1,0,7,246.02,1376,75
68,0.28,3,39,1.58,1,42.322072,-72.686168,1,0,7,212.892,1427,15
69,0.23,3,69,0.166098485,1,42.331444,-72.65092,1,1,8,384.14,1837,37
70,0.16,3,87,0.192045455,0,42.327189,-72.638884,1,0,7,295.182,1386,71
71,0.2,3,83,0.35530303,2,42.328844,-72.641898,2,1,6,520.147,1966,60
72,0.12,3,70,0.165719697,0,42.334064,-72.647376,1,0,6,284.484,1376,37
73,0.33,3,51,1.72,0,42.331929,-72.614425,2,0,6,228.565,1200,25
74,0.33,3,55,0.911363636,2,42.324647,-72.656992,2,0,8,447.27,1734,31
75,0.36,3,53,0.785227273,0,42.327266,-72.669809,2,0,7,286.163,1556,54
76,0.38,3,57,0.985984848,0,42.304389,-72.664435,2,0,6,222.864,1700,2
77,0.18,4,70,0.35719697,1,42.310001,-72.650328,2,0,7,310.018,2042,25
78,0.39,3,37,1.871780303,1,42.320756,-72.690235,1,1,6,211.725,1320,17
79,0.46,3,35,2.89,2,42.309889,-72.705136,1,0,7,266.124,1728,6
80,0.27,3,32,2.94280303,1,42.309078,-72.710395,1,0,6,214.289,1294,3
81,0.51,3,41,1.589962121,1,42.322043,-72.688875,1,0,5,211.104,966,17
82,0.54,2,36,1.939962121,0,42.316714,-72.695596,1,0,4,216.992,1008,14
83,0.35,3,35,2.577083333,2,42.311375,-72.702907,1,1,7,202.485,1594,6
84,0.22,4,84,0.200189394,1,42.334189,-72.666235,1,1,9,429.368,1817,66
85,0.28,3,34,1.75,0,42.320946,-72.681657,1,0,5,208.703,960,20
86,0.18,4,77,0.154356061,1,42.331541,-72.62505,1,0,7,249.413,1344,58
87,0.17,4,60,0.385984848,2,42.330775,-72.66328,2,0,7,332.674,1500,46
88,0.15,5,92,0.381818182,2,42.312089,-72.634334,1,0,8,356.265,2448,75
89,0.35,5,73,0.624431818,2,42.309189,-72.639134,3,1,14,513.096,4030,51
90,0.25,4,37,1.891060606,1,42.323484,-72.689806,2,0,7,236.498,1638,20
91,0.43,4,37,1.887272727,1,42.323207,-72.690353,2,0,7,295.772,1772,20
92,0.09,2,95,0.416477273,4,42.322789,-72.634726,2,0,5,421.46,2137,88
93,0.05,2,97,0.038825758,0,42.327656,-72.635667,2,0,4,233.023,934,66
94,0.22,3,73,0.144507576,2,42.337605,-72.663024,1,1,5,279.814,1457,51
95,0.25,4,83,0.153219697,1,42.334739,-72.664785,4,0,7,347.408,1737,58
96,0.12,3,71,0.258712121,1,42.332556,-72.623309,1,0,6,267.29,1262,46
97,0.26,6,89,0.458143939,1,42.321692,-72.635167,3,0,12,879.328,3175,89
98,0.23,2,18,3.976780303,0,42.310625,-72.7288,2,0,6,191.407,1041,8
99,0.19,3,90,0.674810606,0,42.323097,-72.627901,2,1,9,467.861,2102,89
100,0.13,3,73,0.950568182,0,42.314479,-72.622085,2,0,8,301.94,1859,63
101,0.46,4,60,0.764204545,2,42.322818,-72.649848,2,1,9,534.865,2528,45
102,0.4,4,78,0.125189394,0,42.339922,-72.673915,2,0,8,331.84,1960,65
103,0.2,4,80,1.070265152,0,42.317853,-72.62307,1,0,8,320.805,1941,80
104,0.31,2,47,0.723295455,0,42.326989,-72.658935,1,0,5,176.502,1197,38
